,WHO region,Year,Number of new HIV infections,New HIV infections (per 1000 uninfected population) Both Sexes,New HIV infections (per 1000 uninfected population) Male,New HIV infections (per 1000 uninfected population) Female
0,Global,2019,1700000,0.22,0.23,0.21
1,Global,2018,1700000,0.23,0.24,0.22
2,Global,2017,1800000,0.24,0.24,0.23
3,Global,2016,1800000,0.25,0.25,0.24
4,Global,2015,1900000,0.26,0.26,0.26
5,Global,2014,1900000,0.27,0.27,0.27
6,Global,2013,2000000,0.28,0.28,0.28
7,Global,2012,2000000,0.29,0.29,0.29
8,Global,2011,2100000,0.3,0.3,0.31
9,Global,2010,2100000,0.32,0.31,0.32
10,Global,2009,2200000,0.33,0.32,0.34
11,Global,2008,2200000,0.34,0.33,0.35
12,Global,2007,2300000,0.35,0.34,0.36
13,Global,2006,2300000,0.36,0.35,0.37
14,Global,2005,2400000,0.37,0.36,0.39
15,Global,2004,2400000,0.38,0.37,0.4
16,Global,2003,2500000,0.4,0.38,0.41
17,Global,2002,2600000,0.42,0.4,0.43
18,Global,2001,2600000,0.43,0.42,0.45
19,Global,2000,2700000,0.45,0.44,0.47
20,Global,1999,2800000,0.47,0.45,0.48
21,Global,1998,2800000,0.48,0.46,0.49
22,Global,1997,2800000,0.48,0.46,0.5
23,Global,1996,2700000,0.48,0.47,0.5
24,Global,1995,2700000,0.49,0.48,0.5
25,Global,1994,2700000,0.49,0.49,0.5
26,Global,1993,2500000,0.47,0.47,0.47
27,Global,1992,2400000,0.45,0.45,0.44
28,Global,1991,2200000,0.41,0.42,0.4
29,Global,1990,1900000,0.37,0.38,0.35
30,Africa,2019,970000,0.94,0.77,1.11
31,Africa,2018,1000000,1.0,0.82,1.18
32,Africa,2017,1100000,1.09,0.9,1.29
33,Africa,2016,1100000,1.17,0.97,1.38
34,Africa,2015,1200000,1.26,1.03,1.48
35,Africa,2014,1200000,1.36,1.12,1.6
36,Africa,2013,1300000,1.46,1.21,1.71
37,Africa,2012,1400000,1.57,1.3,1.85
38,Africa,2011,1400000,1.7,1.41,1.99
39,Africa,2010,1500000,1.83,1.53,2.14
40,Africa,2009,1500000,1.94,1.62,2.26
41,Africa,2008,1600000,2.06,1.73,2.39
42,Africa,2007,1600000,2.18,1.84,2.53
43,Africa,2006,1700000,2.3,1.94,2.66
44,Africa,2005,1700000,2.41,2.03,2.79
45,Africa,2004,1800000,2.53,2.14,2.92
46,Africa,2003,1800000,2.66,2.24,3.07
47,Africa,2002,1800000,2.8,2.36,3.23
48,Africa,2001,1900000,2.94,2.49,3.4
49,Africa,2000,1900000,3.09,2.62,3.56
50,Africa,1999,2000000,3.22,2.74,3.71
51,Africa,1998,2000000,3.34,2.84,3.84
52,Africa,1997,2000000,3.44,2.92,3.95
53,Africa,1996,2000000,3.51,2.99,4.02
54,Africa,1995,2000000,3.57,3.06,4.07
55,Africa,1994,1900000,3.59,3.1,4.08
56,Africa,1993,1900000,3.54,3.09,3.99
57,Africa,1992,1800000,3.42,3.02,3.83
58,Africa,1991,1600000,3.21,2.87,3.55
59,Africa,1990,1400000,2.92,2.65,3.19
60,Americas,2019,170000,0.17,0.26,0.09
61,Americas,2018,170000,0.17,0.26,0.09
62,Americas,2017,170000,0.17,0.26,0.09
63,Americas,2016,170000,0.18,0.26,0.09
64,Americas,2015,170000,0.18,0.27,0.09
65,Americas,2014,170000,0.18,0.26,0.09
66,Americas,2013,170000,0.18,0.26,0.1
67,Americas,2012,170000,0.18,0.26,0.1
68,Americas,2011,170000,0.18,0.26,0.1
69,Americas,2010,160000,0.18,0.25,0.1
70,Americas,2009,160000,0.18,0.26,0.11
71,Americas,2008,170000,0.18,0.26,0.11
72,Americas,2007,170000,0.19,0.26,0.12
73,Americas,2006,160000,0.19,0.26,0.12
74,Americas,2005,170000,0.2,0.27,0.13
75,Americas,2004,170000,0.2,0.27,0.13
76,Americas,2003,180000,0.21,0.28,0.14
77,Americas,2002,180000,0.22,0.29,0.14
78,Americas,2001,190000,0.22,0.3,0.15
79,Americas,2000,190000,0.23,0.31,0.15
80,Americas,1999,190000,0.23,0.31,0.15
81,Americas,1998,190000,0.23,0.32,0.15
82,Americas,1997,180000,0.23,0.32,0.15
83,Americas,1996,180000,0.23,0.32,0.15
84,Americas,1995,180000,0.23,0.31,0.15
85,Americas,1994,170000,0.23,0.31,0.15
86,Americas,1993,170000,0.23,0.31,0.15
87,Americas,1992,160000,0.22,0.31,0.15
88,Americas,1991,160000,0.22,0.3,0.14
89,Americas,1990,150000,0.22,0.3,0.13
90,South-East Asia,2019,160000,0.08,0.1,0.06
91,South-East Asia,2018,170000,0.08,0.1,0.07
92,South-East Asia,2017,180000,0.09,0.11,0.07
93,South-East Asia,2016,190000,0.1,0.12,0.08
94,South-East Asia,2015,200000,0.11,0.13,0.09
95,South-East Asia,2014,210000,0.11,0.13,0.09
96,South-East Asia,2013,210000,0.11,0.13,0.09
97,South-East Asia,2012,210000,0.12,0.14,0.09
98,South-East Asia,2011,210000,0.12,0.14,0.09
99,South-East Asia,2010,210000,0.12,0.14,0.1
100,South-East Asia,2009,220000,0.12,0.14,0.1
101,South-East Asia,2008,220000,0.13,0.15,0.1
102,South-East Asia,2007,230000,0.13,0.16,0.11
103,South-East Asia,2006,230000,0.14,0.16,0.11
104,South-East Asia,2005,230000,0.14,0.17,0.11
105,South-East Asia,2004,230000,0.14,0.17,0.11
106,South-East Asia,2003,240000,0.15,0.18,0.12
107,South-East Asia,2002,290000,0.18,0.22,0.15
108,South-East Asia,2001,310000,0.2,0.23,0.16
109,South-East Asia,2000,350000,0.23,0.27,0.19
110,South-East Asia,1999,380000,0.25,0.29,0.2
111,South-East Asia,1998,370000,0.25,0.29,0.2
112,South-East Asia,1997,370000,0.25,0.29,0.2
113,South-East Asia,1996,370000,0.26,0.3,0.2
114,South-East Asia,1995,380000,0.26,0.32,0.2
115,South-East Asia,1994,390000,0.28,0.35,0.2
116,South-East Asia,1993,400000,0.29,0.39,0.2
117,South-East Asia,1992,380000,0.28,0.4,0.16
118,South-East Asia,1991,320000,0.24,0.36,0.12
119,South-East Asia,1990,240000,0.19,0.29,0.08
120,Europe,2019,190000,0.21,0.28,0.15
121,Europe,2018,190000,0.2,0.27,0.14
122,Europe,2017,180000,0.19,0.26,0.13
123,Europe,2016,170000,0.19,0.25,0.13
124,Europe,2015,160000,0.18,0.24,0.12
125,Europe,2014,160000,0.17,0.23,0.12
126,Europe,2013,150000,0.17,0.22,0.11
127,Europe,2012,140000,0.16,0.21,0.11
128,Europe,2011,140000,0.15,0.2,0.1
129,Europe,2010,130000,0.15,0.2,0.1
130,Europe,2009,130000,0.14,0.19,0.09
131,Europe,2008,120000,0.14,0.19,0.09
132,Europe,2007,120000,0.13,0.19,0.09
133,Europe,2006,110000,0.13,0.18,0.08
134,Europe,2005,110000,0.13,0.18,0.08
