,WHO region,Year,Number of deaths due to HIV/AIDS
0,Global,2019,690000
1,Global,2018,730000
2,Global,2017,760000
3,Global,2016,800000
4,Global,2015,830000
5,Global,2014,870000
6,Global,2013,930000
7,Global,2012,1000000
8,Global,2011,1100000
9,Global,2010,1100000
10,Global,2009,1200000
11,Global,2008,1400000
12,Global,2007,1500000
13,Global,2006,1600000
14,Global,2005,1700000
15,Global,2004,1700000
16,Global,2003,1700000
17,Global,2002,1600000
18,Global,2001,1500000
19,Global,2000,1400000
20,Global,1999,1300000
21,Global,1998,1200000
22,Global,1997,1000000
23,Global,1996,940000
24,Global,1995,830000
25,Global,1994,700000
26,Global,1993,580000
27,Global,1992,480000
28,Global,1991,380000
29,Global,1990,300000
30,Africa,2019,440000
31,Africa,2018,460000
32,Africa,2017,480000
33,Africa,2016,510000
34,Africa,2015,530000
35,Africa,2014,570000
36,Africa,2013,610000
37,Africa,2012,680000
38,Africa,2011,740000
39,Africa,2010,810000
40,Africa,2009,890000
41,Africa,2008,1000000
42,Africa,2007,1100000
43,Africa,2006,1200000
44,Africa,2005,1300000
45,Africa,2004,1300000
46,Africa,2003,1300000
47,Africa,2002,1200000
48,Africa,2001,1200000
49,Africa,2000,1100000
50,Africa,1999,1000000
51,Africa,1998,910000
52,Africa,1997,810000
53,Africa,1996,710000
54,Africa,1995,610000
55,Africa,1994,520000
56,Africa,1993,430000
57,Africa,1992,350000
58,Africa,1991,280000
59,Africa,1990,220000
60,Americas,2019,52000
61,Americas,2018,52000
62,Americas,2017,50000
63,Americas,2016,51000
64,Americas,2015,54000
65,Americas,2014,56000
66,Americas,2013,57000
67,Americas,2012,59000
68,Americas,2011,63000
69,Americas,2010,65000
70,Americas,2009,67000
71,Americas,2008,67000
72,Americas,2007,69000
73,Americas,2006,75000
74,Americas,2005,78000
75,Americas,2004,78000
76,Americas,2003,79000
77,Americas,2002,79000
78,Americas,2001,80000
79,Americas,2000,79000
80,Americas,1999,73000
81,Americas,1998,71000
82,Americas,1997,78000
83,Americas,1996,98000
84,Americas,1995,110000
85,Americas,1994,99000
86,Americas,1993,89000
87,Americas,1992,78000
88,Americas,1991,66000
89,Americas,1990,54000
90,South-East Asia,2019,110000
91,South-East Asia,2018,120000
92,South-East Asia,2017,130000
93,South-East Asia,2016,140000
94,South-East Asia,2015,150000
95,South-East Asia,2014,150000
96,South-East Asia,2013,150000
97,South-East Asia,2012,150000
98,South-East Asia,2011,150000
99,South-East Asia,2010,150000
100,South-East Asia,2009,170000
101,South-East Asia,2008,190000
102,South-East Asia,2007,200000
103,South-East Asia,2006,220000
104,South-East Asia,2005,230000
105,South-East Asia,2004,230000
106,South-East Asia,2003,220000
107,South-East Asia,2002,210000
108,South-East Asia,2001,190000
109,South-East Asia,2000,170000
110,South-East Asia,1999,150000
111,South-East Asia,1998,130000
112,South-East Asia,1997,100000
113,South-East Asia,1996,83000
114,South-East Asia,1995,64000
115,South-East Asia,1994,46000
116,South-East Asia,1993,32000
117,South-East Asia,1992,20000
118,South-East Asia,1991,12000
119,South-East Asia,1990,5800
120,Europe,2019,39000
121,Europe,2018,38000
122,Europe,2017,37000
123,Europe,2016,38000
124,Europe,2015,37000
125,Europe,2014,37000
126,Europe,2013,38000
127,Europe,2012,39000
128,Europe,2011,37000
129,Europe,2010,34000
130,Europe,2009,33000
131,Europe,2008,32000
132,Europe,2007,34000
133,Europe,2006,36000
134,Europe,2005,33000
135,Europe,2004,31000
136,Europe,2003,28000
137,Europe,2002,25000
138,Europe,2001,22000
139,Europe,2000,20000
140,Europe,1999,18000
141,Europe,1998,17000
142,Europe,1997,19000
143,Europe,1996,26000
144,Europe,1995,26000
145,Europe,1994,24000
146,Europe,1993,22000
147,Europe,1992,19000
148,Europe,1991,16000
149,Europe,1990,13000
150,Eastern Mediterranean,2019,15000
151,Eastern Mediterranean,2018,15000
152,Eastern Mediterranean,2017,14000
153,Eastern Mediterranean,2016,14000
154,Eastern Mediterranean,2015,14000
155,Eastern Mediterranean,2014,13000
156,Eastern Mediterranean,2013,12000
157,Eastern Mediterranean,2012,11000
158,Eastern Mediterranean,2011,10000
159,Eastern Mediterranean,2010,9600
160,Eastern Mediterranean,2009,9100
161,Eastern Mediterranean,2008,9000
162,Eastern Mediterranean,2007,8500
163,Eastern Mediterranean,2006,7800
164,Eastern Mediterranean,2005,7000
165,Eastern Mediterranean,2004,6400
166,Eastern Mediterranean,2003,5800
167,Eastern Mediterranean,2002,5200
168,Eastern Mediterranean,2001,4500
169,Eastern Mediterranean,2000,3900
170,Eastern Mediterranean,1999,3300
171,Eastern Mediterranean,1998,2700
172,Eastern Mediterranean,1997,2200
173,Eastern Mediterranean,1996,1800
174,Eastern Mediterranean,1995,1500
175,Eastern Mediterranean,1994,1100
176,Eastern Mediterranean,1993,900
177,Eastern Mediterranean,1992,700
178,Eastern Mediterranean,1991,540
179,Eastern Mediterranean,1990,500
180,Western Pacific,2019,41000
181,Western Pacific,2018,42000
182,Western Pacific,2017,44000
183,Western Pacific,2016,45000
184,Western Pacific,2015,49000
185,Western Pacific,2014,52000
186,Western Pacific,2013,55000
187,Western Pacific,2012,59000
188,Western Pacific,2011,63000
189,Western Pacific,2010,64000
190,Western Pacific,2009,64000
191,Western Pacific,2008,65000
192,Western Pacific,2007,64000
193,Western Pacific,2006,65000
194,Western Pacific,2005,65000
195,Western Pacific,2004,61000
196,Western Pacific,2003,57000
197,Western Pacific,2002,52000
198,Western Pacific,2001,45000
199,Western Pacific,2000,38000
200,Western Pacific,1999,32000
201,Western Pacific,1998,25000
202,Western Pacific,1997,20000
203,Western Pacific,1996,16000
204,Western Pacific,1995,12000
205,Western Pacific,1994,7700
206,Western Pacific,1993,5500
207,Western Pacific,1992,4000
208,Western Pacific,1991,2900
209,Western Pacific,1990,2100
