,REGION,YEAR,PEOPLE HAVING HIV
0,Global,2019,38000000
1,Global,2018,37300000
2,Global,2017,36500000
3,Global,2016,35700000
4,Global,2015,34900000
5,Global,2014,34100000
6,Global,2013,33200000
7,Global,2012,32400000
8,Global,2011,31600000
9,Global,2010,30700000
10,Global,2009,29900000
11,Global,2008,29100000
12,Global,2007,28400000
13,Global,2006,27800000
14,Global,2005,27300000
15,Global,2004,26800000
16,Global,2003,26300000
17,Global,2002,25700000
18,Global,2001,24900000
19,Global,2000,24000000
20,Global,1999,22800000
21,Global,1998,21500000
22,Global,1997,20100000
23,Global,1996,18500000
24,Global,1995,16800000
25,Global,1994,15000000
26,Global,1993,13100000
27,Global,1992,11300000
28,Global,1991,9400000
29,Global,1990,7700000
30,Africa,2019,25700000
31,Africa,2018,25300000
32,Africa,2017,24900000
33,Africa,2016,24400000
34,Africa,2015,23900000
35,Africa,2014,23400000
36,Africa,2013,22900000
37,Africa,2012,22400000
38,Africa,2011,21800000
39,Africa,2010,21300000
40,Africa,2009,20700000
41,Africa,2008,20200000
42,Africa,2007,19700000
43,Africa,2006,19300000
44,Africa,2005,19000000
45,Africa,2004,18700000
46,Africa,2003,18400000
47,Africa,2002,18000000
48,Africa,2001,17600000
49,Africa,2000,17000000
50,Africa,1999,16300000
51,Africa,1998,15500000
52,Africa,1997,14500000
53,Africa,1996,13400000
54,Africa,1995,12300000
55,Africa,1994,11000000
56,Africa,1993,9700000
57,Africa,1992,8300000
58,Africa,1991,7000000
59,Africa,1990,5700000
60,Americas,2019,3700000
61,Americas,2018,3600000
62,Americas,2017,3500000
63,Americas,2016,3400000
64,Americas,2015,3300000
65,Americas,2014,3200000
66,Americas,2013,3100000
67,Americas,2012,3000000
68,Americas,2011,2900000
69,Americas,2010,2800000
70,Americas,2009,2800000
71,Americas,2008,2700000
72,Americas,2007,2600000
73,Americas,2006,2500000
74,Americas,2005,2400000
75,Americas,2004,2300000
76,Americas,2003,2300000
77,Americas,2002,2200000
78,Americas,2001,2100000
79,Americas,2000,2000000
80,Americas,1999,1900000
81,Americas,1998,1800000
82,Americas,1997,1700000
83,Americas,1996,1600000
84,Americas,1995,1500000
85,Americas,1994,1400000
86,Americas,1993,1400000
87,Americas,1992,1300000
88,Americas,1991,1200000
89,Americas,1990,1100000
90,South-East Asia,2019,3700000
91,South-East Asia,2018,3700000
92,South-East Asia,2017,3600000
93,South-East Asia,2016,3600000
94,South-East Asia,2015,3600000
95,South-East Asia,2014,3600000
96,South-East Asia,2013,3500000
97,South-East Asia,2012,3500000
98,South-East Asia,2011,3400000
99,South-East Asia,2010,3400000
100,South-East Asia,2009,3400000
101,South-East Asia,2008,3300000
102,South-East Asia,2007,3300000
103,South-East Asia,2006,3300000
104,South-East Asia,2005,3300000
105,South-East Asia,2004,3300000
106,South-East Asia,2003,3400000
107,South-East Asia,2002,3400000
108,South-East Asia,2001,3300000
109,South-East Asia,2000,3200000
110,South-East Asia,1999,3000000
111,South-East Asia,1998,2800000
112,South-East Asia,1997,2600000
113,South-East Asia,1996,2300000
114,South-East Asia,1995,2100000
115,South-East Asia,1994,1800000
116,South-East Asia,1993,1400000
117,South-East Asia,1992,1100000
118,South-East Asia,1991,730000
119,South-East Asia,1990,430000
120,Europe,2019,2600000
121,Europe,2018,2400000
122,Europe,2017,2300000
123,Europe,2016,2200000
124,Europe,2015,2100000
125,Europe,2014,2000000
126,Europe,2013,1800000
127,Europe,2012,1700000
128,Europe,2011,1600000
129,Europe,2010,1600000
130,Europe,2009,1500000
131,Europe,2008,1400000
132,Europe,2007,1300000
133,Europe,2006,1200000
134,Europe,2005,1100000
135,Europe,2004,1100000
136,Europe,2003,1000000
137,Europe,2002,930000
138,Europe,2001,850000
139,Europe,2000,780000
140,Europe,1999,710000
141,Europe,1998,650000
142,Europe,1997,580000
143,Europe,1996,530000
144,Europe,1995,480000
145,Europe,1994,440000
146,Europe,1993,400000
147,Europe,1992,370000
148,Europe,1991,350000
149,Europe,1990,320000
150,Eastern Mediterranean,2019,420000
151,Eastern Mediterranean,2018,390000
152,Eastern Mediterranean,2017,370000
153,Eastern Mediterranean,2016,350000
154,Eastern Mediterranean,2015,330000
155,Eastern Mediterranean,2014,310000
156,Eastern Mediterranean,2013,290000
157,Eastern Mediterranean,2012,270000
158,Eastern Mediterranean,2011,260000
159,Eastern Mediterranean,2010,240000
160,Eastern Mediterranean,2009,220000
161,Eastern Mediterranean,2008,200000
162,Eastern Mediterranean,2007,180000
163,Eastern Mediterranean,2006,170000
164,Eastern Mediterranean,2005,150000
165,Eastern Mediterranean,2004,130000
166,Eastern Mediterranean,2003,120000
167,Eastern Mediterranean,2002,110000
168,Eastern Mediterranean,2001,100000
169,Eastern Mediterranean,2000,91000
170,Eastern Mediterranean,1999,80000
171,Eastern Mediterranean,1998,69000
172,Eastern Mediterranean,1997,58000
173,Eastern Mediterranean,1996,48000
174,Eastern Mediterranean,1995,39000
175,Eastern Mediterranean,1994,31000
176,Eastern Mediterranean,1993,25000
177,Eastern Mediterranean,1992,20000
178,Eastern Mediterranean,1991,15000
179,Eastern Mediterranean,1990,12000
180,Western Pacific,2019,1900000
181,Western Pacific,2018,1900000
182,Western Pacific,2017,1800000
183,Western Pacific,2016,1700000
184,Western Pacific,2015,1700000
185,Western Pacific,2014,1600000
186,Western Pacific,2013,1600000
187,Western Pacific,2012,1500000
188,Western Pacific,2011,1500000
189,Western Pacific,2010,1400000
190,Western Pacific,2009,1400000
191,Western Pacific,2008,1400000
192,Western Pacific,2007,1300000
193,Western Pacific,2006,1300000
194,Western Pacific,2005,1200000
195,Western Pacific,2004,1200000
196,Western Pacific,2003,1100000
197,Western Pacific,2002,1100000
198,Western Pacific,2001,980000
199,Western Pacific,2000,910000
200,Western Pacific,1999,820000
201,Western Pacific,1998,730000
202,Western Pacific,1997,640000
203,Western Pacific,1996,540000
204,Western Pacific,1995,440000
205,Western Pacific,1994,320000
